,,A,B,C,D,E,F,Bonus
2018,20,11,22,31,36,44,46,42
2018,21,13,16,20,39,42,45,31
2018,22,5,7,8,22,27,31,2
2018,23,2,13,17,21,28,37,11
2018,24,7,21,22,29,31,46,11
2018,25,1,15,22,27,31,34,42
2018,26,6,9,13,14,27,45,33
2018,27,6,7,21,37,46,47,34
2018,28,8,15,30,32,35,46,39
2018,29,8,11,32,36,46,47,34
2018,30,5,7,18,28,37,40,38
2018,31,11,12,28,35,37,44,30
2018,32,5,12,24,36,37,42,4
2018,33,3,10,12,20,29,46,32
2018,34,7,8,9,15,27,29,33
2018,35,26,27,35,40,41,42,7
2018,36,4,9,16,17,21,41,36
2018,37,8,14,28,29,35,44,30
2018,38,3,8,12,18,22,32,17
2018,39,15,30,31,33,39,42,3
2018,40,4,22,30,37,45,47,17
2018,41,5,20,25,27,30,31,26
2018,42,3,4,5,19,26,43,24
2018,43,3,27,38,40,43,46,12
2018,44,7,23,27,28,37,44,5
2018,45,3,16,21,29,36,47,35
2018,46,2,6,11,13,20,30,38
2018,47,2,8,25,33,39,42,43
2018,48,5,16,37,43,44,46,7
2018,49,2,14,21,39,42,45,28
2018,50,3,11,24,26,29,47,13
2018,51,6,25,29,33,42,46,5
2018,52,19,22,24,30,38,45,46
2018,53,9,18,20,27,38,39,29
2018,54,4,6,12,20,40,43,21
2018,55,11,26,32,36,42,47,34
2018,56,6,26,27,32,45,47,9
2018,57,5,21,25,29,41,43,31
2018,58,11,12,19,27,30,38,16
2018,59,1,10,22,28,44,47,14
2018,60,1,7,10,17,35,37,43
2018,61,11,13,14,16,31,38,5
2018,62,6,15,22,30,39,45,16
2018,63,5,22,29,38,40,44,20
2018,64,3,11,14,23,36,45,26
2018,65,5,10,14,22,25,31,15
2018,66,5,6,14,19,22,30,24
2018,67,1,12,23,32,36,40,2
2018,68,13,19,30,36,41,47,9
2018,69,9,17,19,29,37,41,12
2018,70,8,16,20,22,37,47,13
2018,71,18,30,31,32,33,42,19
2018,72,9,12,19,20,29,36,7
2018,73,5,14,15,24,27,41,25
2018,74,8,9,12,20,28,34,47
2018,75,2,7,33,35,40,42,10
2018,76,4,18,30,35,40,45,34
2018,77,8,14,18,20,23,29,5
2018,78,1,2,17,19,38,47,13
2018,79,19,20,28,30,33,37,25
2018,80,2,17,24,25,35,40,36
2018,81,3,5,13,18,29,40,32
2018,82,4,10,13,22,25,31,30
2018,83,10,11,15,16,22,46,27
2018,84,12,27,30,33,38,40,34
2018,85,15,19,22,35,36,45,11
2018,86,23,25,33,39,42,46,24
2018,87,8,14,17,25,28,39,35
2018,88,1,10,30,31,42,47,25
2018,89,9,26,27,29,31,47,30
2018,90,20,21,23,34,39,43,4
2018,91,8,16,18,23,35,40,39
2018,92,4,6,16,18,27,39,45
2018,93,2,5,23,31,37,39,4
2018,94,7,16,21,27,30,31,26
2018,95,2,9,13,19,21,45,38
2018,96,2,12,22,24,33,41,10
2018,97,2,7,15,20,21,23,45
2018,98,17,19,29,31,37,41,34
2018,99,1,4,25,31,32,38,45
2018,100,1,2,7,33,34,40,6
2018,101,29,32,33,35,36,44,42
2018,102,6,8,19,20,38,46,23
2018,103,3,8,15,22,25,27,20
2019,0,2,14,18,23,34,39,25
2019,1,12,23,30,36,37,38,3
2019,2,6,19,22,28,35,40,32
2019,3,8,9,14,18,23,38,16
2019,4,11,17,24,29,30,47,38
2019,5,2,9,12,21,32,46,41
2019,6,13,16,18,25,38,41,1
2019,7,14,16,26,27,32,36,17
2019,8,6,7,19,22,24,46,11
2019,9,11,28,29,39,42,44,27
2019,10,4,15,20,21,34,39,19
2019,11,15,16,20,25,28,37,39
2019,12,1,2,11,13,14,44,41
2019,13,2,6,8,9,24,39,36
2019,14,3,4,15,26,27,47,16
2019,15,1,12,27,29,30,35,9
2019,16,3,18,28,30,31,47,7
2019,17,1,3,7,13,23,25,6
2019,18,13,20,37,38,39,47,29
2019,19,13,27,32,36,38,39,43
2019,20,5,8,18,19,28,34,33
2019,21,7,14,17,23,30,45,21
2019,22,1,23,27,33,42,44,31
2019,23,9,10,21,27,31,35,20
2019,24,18,21,29,35,41,43,11
2019,25,6,10,16,23,24,37,45
2019,26,2,10,22,27,38,39,41
2019,27,1,13,17,26,30,35,19
2019,28,6,8,13,15,21,30,17
2019,29,8,13,17,29,34,37,14
2019,30,16,21,24,30,31,43,46
2019,31,2,15,24,33,41,42,23
2019,32,8,11,12,25,34,39,42
2019,33,7,22,27,30,41,42,11
2019,34,13,19,22,24,34,40,47
2019,35,1,8,10,35,37,42,20
2019,36,5,6,8,16,29,46,21
2019,37,10,13,23,24,25,44,12
2019,38,1,15,16,28,34,45,46
2019,39,15,18,25,29,39,40,1
2019,40,6,12,28,33,44,45,40
2019,41,2,3,7,16,29,37,41
2019,42,1,3,22,29,31,37,34
2019,43,5,10,13,19,27,28,37
2019,44,4,29,30,33,40,42,41
2019,45,11,14,22,31,32,33,43
2019,46,9,13,34,35,37,41,43
2019,47,7,20,28,29,42,46,32
2019,48,4,8,23,25,34,35,45
2019,49,4,7,26,33,35,38,15
2019,50,7,14,17,19,27,31,10
2019,51,18,25,30,35,41,44,27
2019,52,7,12,35,40,44,46,22
2019,53,5,13,16,23,27,35,19
2019,54,3,4,19,32,39,46,40
2019,55,7,17,30,31,34,42,18
2019,56,3,32,34,37,41,43,21
2019,57,7,14,24,27,35,38,42
2019,58,9,10,34,37,40,47,7
2019,59,1,3,12,29,36,44,38
2019,60,1,2,3,10,30,45,28
2019,61,3,11,12,24,37,39,40
2019,62,12,14,17,23,27,46,43
2019,63,18,23,29,35,40,46,27
2019,64,1,7,9,18,22,33,17
2019,65,20,21,25,28,33,39,3
2019,66,1,7,10,13,39,47,15
2019,67,8,17,21,28,44,46,2
2019,68,22,24,26,39,42,47,4
2019,69,2,17,18,35,38,43,12
2019,70,10,12,21,33,35,39,13
2019,71,9,12,26,29,34,40,28
2019,72,7,13,14,15,16,33,20
2019,73,7,30,35,37,41,42,14
2019,74,6,7,17,24,27,44,35
2019,75,3,9,17,29,42,43,16
2019,76,4,9,10,34,35,46,11
2019,77,2,11,22,23,29,45,44
2019,78,1,10,14,21,22,39,40
2019,79,14,17,26,31,34,43,47
2019,80,9,10,23,29,42,47,12
2019,81,1,18,19,25,26,42,9
2019,82,7,15,23,37,41,43,3
2019,83,7,10,18,45,46,47,39
2019,84,2,3,22,25,31,34,37
2019,85,2,6,13,21,41,46,27
2019,86,1,3,7,27,31,44,19
2019,87,14,15,16,19,38,46,6
2019,88,3,19,21,29,31,35,22
2019,89,1,9,10,16,19,30,12
2019,90,3,6,17,28,35,42,37
2019,91,3,9,11,27,30,47,42
2019,92,4,9,12,14,17,20,18
2019,93,3,4,8,10,11,46,12
2019,94,3,5,16,30,46,47,37
2019,95,4,6,16,34,38,39,42
2019,96,6,12,13,23,31,34,15
2019,97,14,26,36,37,40,45,38
2019,98,7,33,34,37,45,46,42
2019,99,6,9,11,27,34,42,14
2019,100,19,30,32,33,35,46,3
2019,101,15,16,18,23,39,45,22
2019,102,7,10,18,26,37,40,4
2019,103,2,14,26,33,37,47,38
2020,0,8,13,21,23,40,44,28
2020,1,22,23,24,28,32,41,44
2020,2,22,30,33,39,40,45,38
2020,3,9,14,16,28,33,38,22
2020,4,15,19,24,32,38,40,23
2020,5,3,8,10,18,22,30,31
2020,6,13,14,28,29,34,47,45
2020,7,3,8,10,20,43,44,40
2020,8,9,12,22,28,35,47,37
2020,9,5,6,16,18,45,47,41
2020,10,1,4,16,20,28,36,7
2020,11,6,19,21,27,28,36,32
2020,12,1,14,17,23,31,35,41
2020,13,2,14,28,33,44,47,37
2020,14,3,26,27,29,41,45,33
2020,15,14,26,27,35,38,45,39
2020,16,4,20,30,31,34,38,1
2020,17,20,34,36,37,46,47,27
2020,18,5,13,15,18,27,30,6
2020,19,1,6,18,29,31,42,12
2020,20,5,9,14,20,30,36,37
2020,21,3,5,12,21,22,39,30
2020,22,4,24,30,38,39,42,33
2020,23,3,5,16,22,28,41,43
2020,24,4,9,13,22,44,47,31
2020,25,9,12,15,20,23,26,1
2020,26,3,4,7,14,18,47,29
2020,27,5,7,8,13,18,25,26
2020,28,2,5,7,29,38,42,27
2020,29,12,14,16,21,40,47,18
2020,30,4,7,10,37,38,45,42
2020,31,6,15,16,28,31,41,37
2020,32,22,23,27,30,42,46,43
2020,33,1,23,25,42,43,46,19
2020,34,3,5,16,40,45,47,36
2020,35,5,9,12,30,34,39,26
2020,36,9,13,33,38,45,46,1
2020,37,4,5,12,15,16,31,23
2020,38,5,18,34,40,42,44,36
2020,39,3,7,18,36,40,42,16
2020,40,12,13,20,22,29,34,31
2020,41,21,28,32,33,43,47,40
2020,42,10,14,25,36,38,47,2
2020,43,4,14,23,27,33,38,43
2020,44,3,20,25,29,31,34,14
2020,45,8,11,17,19,21,39,35
2020,46,3,10,11,27,28,33,35
2020,47,12,14,25,27,40,44,2
2020,48,9,14,15,23,27,38,33
2020,49,1,6,11,15,41,44,20
2020,50,10,15,22,24,32,42,46
2020,51,15,20,23,25,39,46,26
2020,52,3,8,21,34,37,47,16
2020,53,5,17,18,31,38,47,12
2020,54,5,6,15,32,39,47,31
2020,55,5,8,19,40,41,44,17
2020,56,1,8,11,12,20,26,25
2020,57,10,12,13,29,30,35,15
2020,58,6,19,32,35,37,47,16
2020,59,11,22,27,28,34,36,45
2020,60,20,23,26,36,43,44,5
2020,61,3,13,23,29,33,38,15
2020,62,7,23,30,38,46,47,31
2020,63,15,24,28,34,40,45,20
2020,64,5,15,16,19,31,37,12
2020,65,23,28,33,34,41,45,39
2020,66,2,9,15,24,31,33,11
2020,67,13,18,30,41,42,44,37
2020,68,7,14,20,23,27,46,25
2020,69,3,10,17,21,37,46,2
2020,70,8,23,31,39,41,45,36
2020,71,3,16,20,25,29,33,14
2020,72,14,24,25,26,29,40,8
2020,73,4,9,15,27,29,34,17
2020,74,7,19,33,37,39,42,35
2020,75,13,16,20,28,37,47,17
2020,76,10,13,24,32,33,42,5
2020,77,12,22,23,29,38,44,7
2020,78,4,10,14,15,29,43,2
2020,79,2,9,21,34,37,44,3
2020,80,9,21,27,28,30,41,24
2020,81,4,5,7,16,43,47,10
2020,82,4,8,14,15,31,34,13
2020,83,5,8,11,18,22,36,40
2020,84,3,10,16,37,38,42,2
2020,85,12,14,22,26,33,45,18
2020,86,1,7,10,12,24,34,45
2020,87,5,11,18,35,40,42,10
2020,88,2,11,26,31,40,47,18
2020,89,5,14,27,28,31,44,43
2020,90,6,10,16,24,25,46,29
2020,91,1,2,8,33,38,41,20
2020,92,2,4,10,17,20,41,25
2020,93,14,20,24,38,41,45,3
2020,94,13,19,20,33,40,43,23
2020,95,3,10,12,23,29,45,1
2020,96,1,3,20,22,39,44,16
2020,97,11,27,29,34,35,40,46
2020,98,10,15,19,21,24,37,46
2020,99,4,13,16,23,33,42,27
2020,100,15,17,23,31,33,41,45
2020,101,3,15,20,22,24,45,14
2020,102,2,5,13,31,42,44,35
2020,103,2,5,16,17,22,23,36
2020,104,4,5,23,30,42,47,3
2021,0,22,25,28,32,35,47,15
2021,1,11,17,19,23,26,43,31
2021,2,2,5,13,22,36,43,3
2021,3,5,8,12,13,25,26,9
2021,4,4,10,21,27,41,42,18
2021,5,2,12,20,24,43,46,21
2021,6,3,15,19,23,31,39,5
2021,7,7,10,26,27,35,43,12
2021,8,1,8,14,33,38,40,30
2021,9,1,5,15,23,39,47,30
2021,10,8,10,19,31,41,43,29
2021,11,9,14,22,32,38,42,5
2021,12,6,7,14,22,32,46,47
2021,13,7,20,23,33,36,44,10
2021,14,6,20,29,33,37,42,27
2021,15,5,6,9,15,19,25,18
2021,16,1,11,15,30,31,43,22
2021,17,5,6,17,22,33,41,34
2021,18,3,11,25,32,40,45,5
2021,19,5,10,12,23,28,47,16
2021,20,12,19,21,33,44,46,1
2021,21,1,7,20,21,24,44,19
2021,22,9,15,39,41,44,47,27
2021,23,5,13,18,25,34,38,7
2021,24,5,6,9,31,35,45,12
2021,25,12,17,18,21,33,37,23
